index,run_id,dataset_id,arm,seed,tier
0,ixi_A0_s1,ixi,A0,1,1
1,ixi_A0_s2,ixi,A0,2,1
2,ixi_A0_s3,ixi,A0,3,1
3,lsun_church_A0_s1,lsun_church,A0,1,1
4,lsun_church_A0_s2,lsun_church,A0,2,1
5,lsun_church_A0_s3,lsun_church,A0,3,1
6,ixi_A3_s1,ixi,A3,1,1
7,ixi_A3_s2,ixi,A3,2,1
8,ixi_A3_s3,ixi,A3,3,1
9,lsun_church_A3_s1,lsun_church,A3,1,1
10,lsun_church_A3_s2,lsun_church,A3,2,1
11,lsun_church_A3_s3,lsun_church,A3,3,1
12,ixi_A1_s1,ixi,A1,1,2
13,ixi_A1_s2,ixi,A1,2,2
14,lsun_church_A1_s1,lsun_church,A1,1,2
15,lsun_church_A1_s2,lsun_church,A1,2,2
16,ixi_A2_s1,ixi,A2,1,2
17,ixi_A2_s2,ixi,A2,2,2
18,lsun_church_A2_s1,lsun_church,A2,1,2
19,lsun_church_A2_s2,lsun_church,A2,2,2
20,lsun_church_A2p_s1,lsun_church,A2p,1,2
21,lsun_church_A2p_s2,lsun_church,A2p,2,2
22,oasis1_A0_s1,oasis1,A0,1,3
23,oasis1_A0_s2,oasis1,A0,2,3
24,lsun_bedroom_A0_s1,lsun_bedroom,A0,1,3
25,lsun_bedroom_A0_s2,lsun_bedroom,A0,2,3
26,oasis1_A3_s1,oasis1,A3,1,3
27,oasis1_A3_s2,oasis1,A3,2,3
28,lsun_bedroom_A3_s1,lsun_bedroom,A3,1,3
29,lsun_bedroom_A3_s2,lsun_bedroom,A3,2,3
